Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date,Season
Charlotte Hornets,Utah Jazz,22000342,121,0.455,0.451,0.374,0.7509999999999999,43.5,28.5,14.9,8.2,5.0,-0.9,109.3,110.0,0.561,138,0.773,0.462,0.401,0.758,49.8,23.7,14.8,6.1,5.7,8.3,114.9,107.0,0.586,0,2021-02-05,2020-21
Oklahoma City Thunder,Minnesota Timberwolves,22000348,103,0.45,0.45,0.34,0.73,43.1,21.7,14.3,6.8,4.8,-6.8,104.5,111.5,0.555,106,0.23800000000000002,0.434,0.34,0.7559999999999999,42.9,23.1,14.1,8.1,5.7,-8.8,104.0,112.3,0.531,0,2021-02-05,2020-21
Philadelphia 76ers,Brooklyn Nets,22000354,124,0.696,0.47600000000000003,0.36,0.768,44.2,22.8,15.7,8.7,6.3,3.4,111.0,107.4,0.578,108,0.583,0.5,0.402,0.816,43.4,26.0,14.7,6.0,5.8,3.9,117.1,113.4,0.621,1,2021-02-06,2020-21
Los Angeles Lakers,Detroit Pistons,22000361,135,0.7390000000000001,0.484,0.379,0.747,45.8,24.8,14.8,7.1,6.1,8.4,112.8,104.4,0.58,129,0.22699999999999998,0.426,0.35,0.78,42.9,23.3,14.6,7.7,4.8,-5.2,106.8,111.6,0.539,1,2021-02-06,2020-21
New York Knicks,Portland Trail Blazers,22000351,110,0.435,0.447,0.35,0.764,48.4,21.8,14.4,6.8,5.3,-1.8,106.6,108.0,0.539,99,0.5710000000000001,0.44299999999999995,0.381,0.8270000000000001,43.8,20.3,11.3,7.9,4.8,-0.8,114.4,115.4,0.5660000000000001,1,2021-02-06,2020-21
Orlando Magic,Chicago Bulls,22000353,92,0.391,0.43200000000000005,0.35100000000000003,0.7859999999999999,46.6,22.7,13.9,7.1,3.7,-6.4,105.7,112.2,0.531,118,0.381,0.47700000000000004,0.37200000000000005,0.797,42.0,25.1,16.1,7.4,3.7,-2.3,110.5,113.4,0.5870000000000001,0,2021-02-06,2020-21
Cleveland Cavaliers,Milwaukee Bucks,22000357,99,0.435,0.45,0.35600000000000004,0.7170000000000001,43.9,23.3,15.7,9.1,5.4,-5.6,103.9,109.3,0.534,124,0.636,0.491,0.39799999999999996,0.733,48.1,26.8,13.9,8.2,4.9,9.0,118.6,109.3,0.597,0,2021-02-06,2020-21
Houston Rockets,San Antonio Spurs,22000358,106,0.524,0.456,0.364,0.757,43.3,22.8,15.4,8.0,5.9,2.4,108.7,106.0,0.57,111,0.545,0.455,0.363,0.7809999999999999,44.5,24.9,10.8,6.9,4.8,-0.9,109.5,110.5,0.5479999999999999,0,2021-02-06,2020-21
Dallas Mavericks,Golden State Warriors,22000360,134,0.391,0.456,0.332,0.768,42.7,22.4,12.2,7.0,4.7,-2.9,109.8,112.5,0.561,132,0.545,0.45799999999999996,0.369,0.7709999999999999,42.3,26.2,13.7,7.4,5.3,0.4,109.7,109.3,0.5710000000000001,1,2021-02-06,2020-21
Atlanta Hawks,Toronto Raptors,22000356,132,0.455,0.444,0.35100000000000003,0.816,46.7,23.9,14.4,6.7,4.7,1.0,110.2,109.5,0.5589999999999999,121,0.455,0.445,0.379,0.821,42.8,24.7,14.2,9.3,5.7,1.9,112.1,110.3,0.5710000000000001,1,2021-02-06,2020-21
Sacramento Kings,Denver Nuggets,22000352,119,0.47600000000000003,0.474,0.375,0.721,42.9,25.1,14.3,6.6,5.3,-5.2,112.0,117.2,0.575,114,0.5710000000000001,0.478,0.38,0.77,44.7,26.6,14.3,8.7,3.9,3.7,114.9,111.2,0.581,1,2021-02-06,2020-21
Oklahoma City Thunder,Minnesota Timberwolves,22000359,120,0.429,0.451,0.342,0.7290000000000001,43.2,22.0,14.4,7.0,4.9,-6.7,104.4,111.2,0.555,118,0.273,0.435,0.34299999999999997,0.759,42.9,23.3,14.2,8.2,5.6,-8.3,104.1,111.9,0.531,1,2021-02-06,2020-21
New Orleans Pelicans,Memphis Grizzlies,22000355,118,0.429,0.469,0.35100000000000003,0.718,46.8,23.8,15.1,7.6,3.9,-1.2,111.1,112.6,0.565,109,0.529,0.46299999999999997,0.355,0.772,44.6,27.8,14.0,10.1,5.5,0.5,108.5,108.1,0.55,1,2021-02-06,2020-21
New York Knicks,Miami Heat,22000364,103,0.45799999999999996,0.449,0.353,0.762,48.6,21.8,14.4,6.8,5.3,-1.3,106.9,107.9,0.541,109,0.364,0.46799999999999997,0.355,0.778,41.6,25.5,17.0,6.7,3.9,-3.8,106.5,110.4,0.5820000000000001,0,2021-02-07,2020-21
Phoenix Suns,Boston Celtics,22000365,100,0.5710000000000001,0.462,0.355,0.833,44.4,25.8,14.0,6.2,4.2,2.3,109.8,107.7,0.573,91,0.5710000000000001,0.47200000000000003,0.37799999999999995,0.757,44.3,22.7,14.7,8.8,5.2,2.2,112.3,109.7,0.5710000000000001,1,2021-02-07,2020-21
LA Clippers,Sacramento Kings,22000366,110,0.708,0.483,0.424,0.847,44.6,25.1,13.6,7.6,4.8,7.5,117.4,110.1,0.608,113,0.5,0.475,0.377,0.72,43.0,25.4,14.0,6.5,5.3,-4.8,112.4,117.2,0.5760000000000001,0,2021-02-07,2020-21
Indiana Pacers,Utah Jazz,22000363,95,0.522,0.48,0.369,0.7659999999999999,41.9,26.5,13.8,8.4,5.7,1.5,112.3,110.8,0.58,103,0.7829999999999999,0.466,0.40700000000000003,0.763,49.5,24.0,14.8,6.0,5.9,8.6,115.7,107.4,0.5920000000000001,0,2021-02-07,2020-21
Charlotte Hornets,Washington Wizards,22000215,119,0.435,0.452,0.37200000000000005,0.753,43.3,28.3,14.5,8.2,4.8,-1.6,109.6,111.1,0.56,97,0.263,0.45899999999999996,0.358,0.758,41.5,24.2,13.3,6.8,3.7,-5.7,110.3,116.2,0.563,1,2021-02-07,2020-21
Chicago Bulls,Washington Wizards,22000368,101,0.409,0.479,0.377,0.794,42.3,25.3,15.9,7.4,3.9,-1.1,111.1,112.6,0.588,105,0.25,0.455,0.35,0.755,41.8,24.0,13.3,6.7,3.7,-6.5,109.6,116.2,0.5589999999999999,0,2021-02-08,2020-21
San Antonio Spurs,Golden State Warriors,22000371,105,0.565,0.45399999999999996,0.361,0.7829999999999999,44.5,24.7,10.8,6.8,4.9,-0.6,109.5,110.3,0.5479999999999999,100,0.522,0.461,0.373,0.775,42.1,26.1,13.8,7.5,5.2,0.3,110.3,110.1,0.575,1,2021-02-08,2020-21
Los Angeles Lakers,Oklahoma City Thunder,22000374,119,0.75,0.48700000000000004,0.382,0.752,45.3,25.0,15.1,7.2,6.0,8.2,112.9,104.7,0.584,112,0.455,0.45399999999999996,0.342,0.732,43.1,22.1,14.4,7.0,4.7,-6.3,104.9,111.5,0.5579999999999999,1,2021-02-08,2020-21
Phoenix Suns,Cleveland Cavaliers,22000372,119,0.591,0.46299999999999997,0.35200000000000004,0.838,44.9,25.9,13.9,6.1,4.3,2.6,110.0,107.5,0.573,113,0.41700000000000004,0.45,0.35,0.7170000000000001,43.7,23.2,15.7,8.9,5.3,-6.4,103.8,110.0,0.534,1,2021-02-08,2020-21
Dallas Mavericks,Minnesota Timberwolves,22000370,127,0.41700000000000004,0.456,0.33799999999999997,0.7709999999999999,42.8,22.6,12.3,6.9,4.5,-2.7,110.5,113.0,0.563,122,0.261,0.43799999999999994,0.34299999999999997,0.748,42.7,23.5,14.2,8.3,5.5,-8.0,104.6,112.1,0.5329999999999999,1,2021-02-08,2020-21
Denver Nuggets,Milwaukee Bucks,22000373,112,0.545,0.478,0.38,0.7709999999999999,44.8,26.8,14.1,8.5,4.2,3.3,115.0,111.6,0.58,125,0.652,0.493,0.401,0.727,47.9,26.7,13.7,8.3,4.7,9.6,118.9,108.9,0.599,0,2021-02-08,2020-21
Charlotte Hornets,Houston Rockets,22000367,119,0.45799999999999996,0.451,0.374,0.754,43.9,28.0,14.4,8.1,4.9,-0.6,109.9,110.4,0.5589999999999999,94,0.5,0.455,0.36200000000000004,0.755,43.4,22.8,15.3,7.8,5.9,2.0,108.5,106.2,0.568,1,2021-02-08,2020-21
Memphis Grizzlies,Toronto Raptors,22000369,113,0.5,0.462,0.354,0.7759999999999999,44.7,27.8,13.8,9.9,5.4,0.0,108.8,108.8,0.55,128,0.435,0.444,0.37799999999999995,0.8170000000000001,42.6,24.6,13.9,9.3,5.6,1.3,112.5,111.1,0.57,0,2021-02-08,2020-21
San Antonio Spurs,Golden State Warriors,22000378,91,0.583,0.452,0.361,0.785,44.5,24.7,10.8,7.1,5.0,-0.4,109.2,109.7,0.546,114,0.5,0.46,0.37200000000000005,0.774,42.3,26.2,14.0,7.3,5.2,0.1,109.8,109.8,0.574,0,2021-02-09,2020-21
Miami Heat,New York Knicks,22000376,98,0.391,0.46799999999999997,0.355,0.779,41.8,25.6,16.7,6.7,3.8,-3.4,106.8,110.4,0.583,96,0.44,0.449,0.355,0.762,48.5,21.9,14.4,6.8,5.2,-1.5,107.0,108.1,0.542,1,2021-02-09,2020-21
Detroit Pistons,Brooklyn Nets,22000375,122,0.217,0.428,0.35200000000000004,0.782,42.3,23.5,14.9,7.9,4.7,-5.2,107.0,111.9,0.542,111,0.56,0.498,0.4,0.818,43.0,25.8,14.8,6.0,5.6,3.1,116.7,113.7,0.618,1,2021-02-09,2020-21
Portland Trail Blazers,Orlando Magic,22000380,106,0.545,0.441,0.38,0.816,43.7,20.1,11.3,7.8,4.9,-1.3,114.0,115.4,0.564,97,0.375,0.43,0.34600000000000003,0.7909999999999999,46.7,22.5,13.9,7.0,4.0,-7.2,105.3,112.7,0.528,1,2021-02-09,2020-21
Utah Jazz,Boston Celtics,22000379,122,0.792,0.46299999999999997,0.40299999999999997,0.759,50.0,24.0,14.8,5.8,5.8,8.6,115.4,107.0,0.589,108,0.545,0.467,0.37799999999999995,0.754,44.4,22.7,14.4,8.7,5.1,1.7,111.9,109.8,0.5670000000000001,1,2021-02-09,2020-21
Sacramento Kings,Philadelphia 76ers,22000381,111,0.522,0.475,0.375,0.72,43.3,25.3,13.9,6.4,5.3,-4.4,112.3,116.8,0.575,119,0.708,0.478,0.361,0.77,44.5,23.0,15.7,8.9,6.2,3.9,111.4,107.4,0.579,0,2021-02-09,2020-21
New Orleans Pelicans,Houston Rockets,22000377,130,0.455,0.47100000000000003,0.35600000000000004,0.715,46.6,24.0,14.9,7.4,4.1,-0.8,111.6,112.6,0.5670000000000001,101,0.478,0.45299999999999996,0.35700000000000004,0.753,43.2,22.7,15.2,7.9,5.8,0.9,108.1,106.8,0.5660000000000001,1,2021-02-09,2020-21
Los Angeles Lakers,Oklahoma City Thunder,22000390,114,0.76,0.486,0.375,0.753,45.7,25.0,15.0,7.2,6.2,8.1,112.6,104.5,0.5820000000000001,113,0.435,0.45,0.341,0.732,43.4,22.0,14.3,6.9,4.6,-6.3,104.6,111.2,0.5529999999999999,1,2021-02-10,2020-21
Chicago Bulls,New Orleans Pelicans,22000385,129,0.391,0.47600000000000003,0.374,0.7959999999999999,42.6,25.2,15.9,7.3,3.9,-1.2,110.6,112.3,0.585,116,0.478,0.473,0.35700000000000004,0.722,47.0,24.3,14.8,7.4,4.2,0.5,112.4,112.3,0.569,1,2021-02-10,2020-21
Phoenix Suns,Milwaukee Bucks,22000389,125,0.609,0.465,0.355,0.833,44.8,26.1,13.8,6.2,4.4,2.8,110.6,108.0,0.574,124,0.667,0.494,0.401,0.733,48.0,26.6,13.6,8.3,4.8,9.8,119.2,109.2,0.601,1,2021-02-10,2020-21
Brooklyn Nets,Indiana Pacers,22000383,104,0.5379999999999999,0.498,0.39899999999999997,0.82,42.7,26.0,14.8,6.1,5.7,2.6,116.7,114.2,0.618,94,0.5,0.47600000000000003,0.366,0.764,42.0,26.4,13.6,8.4,5.8,1.2,111.7,110.6,0.575,1,2021-02-10,2020-21
Dallas Mavericks,Atlanta Hawks,22000384,118,0.44,0.45799999999999996,0.33799999999999997,0.775,42.9,22.8,12.3,6.7,4.5,-2.4,110.9,113.1,0.5660000000000001,117,0.478,0.44799999999999995,0.359,0.82,46.5,24.2,14.6,6.4,4.9,1.5,111.1,110.0,0.5660000000000001,1,2021-02-10,2020-21
Denver Nuggets,Cleveland Cavaliers,22000388,133,0.522,0.47600000000000003,0.382,0.7759999999999999,44.6,26.6,13.9,8.3,4.2,2.6,115.0,112.3,0.579,95,0.4,0.45299999999999996,0.349,0.715,43.6,23.2,15.5,8.8,5.3,-6.4,104.3,110.6,0.536,1,2021-02-10,2020-21
Minnesota Timberwolves,LA Clippers,22000387,112,0.25,0.439,0.34700000000000003,0.746,42.6,23.6,14.0,8.4,5.5,-7.9,105.2,112.4,0.536,119,0.68,0.48,0.419,0.848,44.9,24.8,13.5,7.6,4.9,7.1,117.0,110.1,0.603,0,2021-02-10,2020-21
Washington Wizards,Toronto Raptors,22000382,115,0.28600000000000003,0.45299999999999996,0.34600000000000003,0.755,42.0,24.0,13.3,6.8,3.8,-6.0,109.4,115.4,0.557,137,0.45799999999999996,0.447,0.384,0.8220000000000001,42.4,24.8,14.0,9.4,5.5,1.9,113.2,111.4,0.5760000000000001,0,2021-02-10,2020-21
Memphis Grizzlies,Charlotte Hornets,22000386,130,0.474,0.46,0.35200000000000004,0.7859999999999999,44.6,27.9,13.9,9.7,5.4,-0.8,109.2,110.0,0.551,114,0.48,0.452,0.37799999999999995,0.758,44.2,28.0,14.4,8.0,4.9,0.4,110.3,109.9,0.561,1,2021-02-10,2020-21
Golden State Warriors,Orlando Magic,22000393,111,0.52,0.46,0.374,0.7709999999999999,42.6,26.2,13.9,7.4,5.2,1.0,109.9,109.1,0.574,105,0.36,0.429,0.345,0.7809999999999999,47.0,22.5,13.8,7.0,4.0,-7.3,105.1,112.5,0.527,1,2021-02-11,2020-21
Boston Celtics,Toronto Raptors,22000398,120,0.522,0.466,0.381,0.758,44.1,22.5,14.2,8.5,5.0,1.1,112.2,110.8,0.5660000000000001,106,0.48,0.451,0.391,0.8240000000000001,42.4,24.9,13.9,9.2,5.5,2.7,113.9,111.3,0.579,1,2021-02-11,2020-21
Houston Rockets,Miami Heat,22000392,94,0.45799999999999996,0.451,0.355,0.746,43.0,22.7,15.1,7.8,5.8,-0.3,107.9,107.8,0.563,101,0.41700000000000004,0.465,0.358,0.782,41.7,25.5,16.6,6.6,3.9,-3.2,106.8,110.1,0.5820000000000001,0,2021-02-11,2020-21
Detroit Pistons,Indiana Pacers,22000391,95,0.25,0.433,0.355,0.78,42.1,23.7,14.8,8.0,4.8,-4.5,107.8,112.0,0.546,111,0.48,0.473,0.36700000000000005,0.7609999999999999,42.1,26.5,13.5,8.3,5.7,0.7,111.2,110.6,0.5720000000000001,0,2021-02-11,2020-21
Portland Trail Blazers,Philadelphia 76ers,22000394,118,0.565,0.439,0.381,0.821,44.2,20.0,11.2,7.8,4.9,-0.8,113.7,114.7,0.563,114,0.72,0.478,0.363,0.772,44.9,23.0,15.7,8.7,6.2,4.0,111.4,107.2,0.58,1,2021-02-11,2020-21
Los Angeles Lakers,Memphis Grizzlies,22000403,115,0.769,0.485,0.371,0.7559999999999999,45.4,24.8,15.0,7.1,6.2,7.8,112.3,104.5,0.5820000000000001,105,0.5,0.462,0.361,0.7829999999999999,44.8,28.2,14.0,9.7,5.2,0.0,110.3,110.3,0.556,1,2021-02-12,2020-21
Chicago Bulls,LA Clippers,22000400,106,0.41700000000000004,0.48100000000000004,0.38299999999999995,0.795,42.3,25.6,16.0,7.2,4.0,-0.6,111.5,112.5,0.591,125,0.6920000000000001,0.48100000000000004,0.42200000000000004,0.8490000000000001,45.1,24.7,13.6,7.7,4.8,7.1,117.2,110.2,0.604,0,2021-02-12,2020-21
Boston Celtics,Detroit Pistons,22000412,102,0.542,0.465,0.38799999999999996,0.759,44.3,22.8,14.4,8.4,5.0,1.6,112.5,110.5,0.568,108,0.24,0.434,0.349,0.779,42.3,23.7,14.8,7.9,4.8,-5.0,107.8,112.5,0.545,0,2021-02-12,2020-21
Portland Trail Blazers,Cleveland Cavaliers,22000404,129,0.583,0.439,0.38299999999999995,0.825,44.4,19.9,11.1,7.7,4.8,-0.6,114.2,115.0,0.564,110,0.385,0.45,0.342,0.716,43.8,23.3,15.6,8.7,5.3,-7.6,104.0,111.4,0.5329999999999999,1,2021-02-12,2020-21
Utah Jazz,Milwaukee Bucks,22000402,129,0.8,0.46399999999999997,0.402,0.7659999999999999,49.8,24.2,14.7,5.8,5.9,8.9,116.0,107.4,0.591,115,0.64,0.494,0.402,0.733,47.7,26.5,13.5,8.2,4.6,9.4,119.5,109.9,0.602,1,2021-02-12,2020-21
Dallas Mavericks,New Orleans Pelicans,22000399,143,0.462,0.46,0.341,0.779,42.7,22.9,12.3,6.6,4.5,-2.3,111.3,113.4,0.569,130,0.45799999999999996,0.475,0.358,0.725,46.5,24.4,14.7,7.5,4.1,0.0,112.7,113.1,0.5720000000000001,1,2021-02-12,2020-21
Atlanta Hawks,San Antonio Spurs,22000397,114,0.45799999999999996,0.44799999999999995,0.359,0.82,46.3,24.3,14.4,6.5,4.9,1.4,111.4,110.5,0.5670000000000001,125,0.56,0.449,0.36,0.79,44.5,24.5,10.9,6.9,5.0,-1.3,108.5,109.9,0.5429999999999999,0,2021-02-12,2020-21
Sacramento Kings,Orlando Magic,22000405,112,0.5,0.473,0.373,0.716,43.0,25.2,13.7,6.4,5.4,-4.6,112.0,116.6,0.573,123,0.34600000000000003,0.428,0.349,0.7809999999999999,47.1,22.4,13.8,7.0,4.1,-7.2,105.1,112.4,0.526,0,2021-02-12,2020-21
Denver Nuggets,Oklahoma City Thunder,22000401,97,0.542,0.48100000000000004,0.384,0.774,44.4,26.8,13.8,8.5,4.4,4.1,115.8,111.6,0.584,95,0.41700000000000004,0.451,0.337,0.735,43.3,22.3,14.2,7.1,4.6,-6.0,104.6,110.9,0.552,1,2021-02-12,2020-21
Charlotte Hornets,Minnesota Timberwolves,22000395,120,0.462,0.455,0.381,0.76,43.9,27.8,14.6,8.1,4.9,-0.2,110.5,110.8,0.564,114,0.24,0.43799999999999994,0.348,0.748,42.6,23.8,14.0,8.3,5.6,-7.8,105.5,112.8,0.536,1,2021-02-12,2020-21
Washington Wizards,New York Knicks,22000396,91,0.273,0.45299999999999996,0.34299999999999997,0.758,42.1,24.0,13.3,6.8,3.7,-6.7,109.3,116.0,0.557,109,0.423,0.44799999999999995,0.355,0.7609999999999999,48.6,21.9,14.4,6.9,5.2,-1.5,106.9,108.1,0.541,0,2021-02-12,2020-21
Golden State Warriors,Brooklyn Nets,22000409,117,0.5379999999999999,0.46,0.376,0.77,42.7,26.3,14.0,7.3,5.2,1.2,109.9,108.9,0.575,134,0.556,0.496,0.396,0.823,42.9,25.8,14.8,6.0,5.7,2.9,116.5,113.7,0.616,0,2021-02-13,2020-21
New York Knicks,Houston Rockets,22000408,121,0.444,0.44799999999999995,0.35200000000000004,0.758,49.2,21.9,14.3,7.0,5.1,-0.7,106.8,107.4,0.539,99,0.44,0.449,0.35200000000000004,0.746,43.0,22.8,15.1,7.7,5.6,-0.6,107.4,107.6,0.561,1,2021-02-13,2020-21
Phoenix Suns,Philadelphia 76ers,22000406,120,0.625,0.46799999999999997,0.36,0.8270000000000001,44.9,26.1,13.7,6.2,4.3,2.7,111.3,108.7,0.5770000000000001,111,0.6920000000000001,0.479,0.358,0.774,45.1,22.9,15.5,8.6,6.1,3.7,111.7,107.9,0.58,1,2021-02-13,2020-21
Utah Jazz,Miami Heat,22000410,112,0.8079999999999999,0.466,0.401,0.7709999999999999,49.6,24.1,14.7,5.7,5.8,9.1,116.3,107.6,0.593,94,0.44,0.46299999999999997,0.358,0.7859999999999999,42.0,25.4,16.7,6.6,3.8,-2.8,106.6,109.5,0.5820000000000001,1,2021-02-13,2020-21
Atlanta Hawks,Indiana Pacers,22000407,113,0.44,0.44799999999999995,0.358,0.8170000000000001,46.0,24.2,14.3,6.6,4.8,0.9,111.3,110.9,0.5660000000000001,125,0.5,0.474,0.37,0.764,42.3,26.5,13.3,8.4,5.7,1.3,111.6,110.5,0.573,0,2021-02-13,2020-21
Phoenix Suns,Orlando Magic,22000417,109,0.64,0.473,0.361,0.8270000000000001,44.5,26.1,13.8,6.3,4.2,3.0,111.9,109.0,0.581,90,0.37,0.431,0.353,0.7809999999999999,47.0,22.5,13.7,7.1,4.0,-6.5,105.8,112.3,0.529,1,2021-02-14,2020-21
LA Clippers,Cleveland Cavaliers,22000419,128,0.7040000000000001,0.485,0.42200000000000004,0.848,44.8,24.6,13.4,7.8,4.9,7.6,117.6,110.2,0.606,111,0.37,0.449,0.342,0.715,43.7,23.2,15.4,8.6,5.2,-8.0,104.1,112.1,0.5329999999999999,1,2021-02-14,2020-21
Detroit Pistons,New Orleans Pelicans,22000561,123,0.26899999999999996,0.434,0.35100000000000003,0.7809999999999999,42.5,23.8,14.7,7.7,4.9,-4.6,107.9,112.1,0.546,112,0.44,0.47700000000000004,0.36200000000000004,0.726,46.2,24.7,14.5,7.4,4.0,-0.6,113.5,114.4,0.575,1,2021-02-14,2020-21
Dallas Mavericks,Portland Trail Blazers,22000411,118,0.48100000000000004,0.465,0.35,0.778,42.5,23.2,12.1,6.5,4.4,-1.7,112.5,114.1,0.575,121,0.6,0.442,0.38299999999999995,0.831,44.4,19.7,11.2,7.5,4.8,0.2,114.7,114.7,0.5670000000000001,0,2021-02-14,2020-21
Sacramento Kings,Memphis Grizzlies,22000418,110,0.48,0.475,0.373,0.716,43.0,25.5,13.9,6.5,5.2,-4.8,112.0,116.9,0.574,124,0.47600000000000003,0.46299999999999997,0.364,0.7829999999999999,44.2,28.3,14.2,9.7,5.1,-0.4,110.1,110.5,0.557,0,2021-02-14,2020-21
Denver Nuggets,Los Angeles Lakers,22000416,122,0.56,0.48,0.37799999999999995,0.772,44.3,26.8,13.8,8.4,4.4,4.0,115.2,111.1,0.5820000000000001,105,0.778,0.486,0.364,0.753,45.4,24.8,15.1,7.2,6.1,7.9,112.4,104.5,0.5820000000000001,1,2021-02-14,2020-21
Charlotte Hornets,San Antonio Spurs,22000414,110,0.48100000000000004,0.457,0.38,0.768,44.2,27.5,14.8,7.9,4.8,0.0,110.8,110.7,0.5660000000000001,122,0.5770000000000001,0.452,0.361,0.7909999999999999,44.5,24.6,11.0,6.8,5.0,-0.8,109.0,109.8,0.547,0,2021-02-14,2020-21
Washington Wizards,Boston Celtics,22000560,104,0.261,0.45,0.34,0.7559999999999999,42.2,23.8,13.3,6.7,3.8,-7.2,108.5,115.5,0.5529999999999999,91,0.52,0.46399999999999997,0.385,0.758,44.4,22.5,14.2,8.5,4.9,1.3,112.1,110.6,0.5670000000000001,1,2021-02-14,2020-21
Toronto Raptors,Minnesota Timberwolves,22000413,112,0.462,0.452,0.389,0.823,42.0,24.9,13.9,9.1,5.6,2.0,113.5,111.6,0.579,116,0.231,0.439,0.35,0.743,42.5,23.9,13.8,8.4,5.5,-7.8,105.7,112.9,0.536,0,2021-02-14,2020-21
Oklahoma City Thunder,Milwaukee Bucks,22000415,114,0.4,0.449,0.337,0.736,43.7,22.5,14.2,7.1,4.6,-5.9,104.4,110.6,0.55,109,0.615,0.493,0.401,0.731,47.1,26.2,13.4,8.2,4.7,8.5,119.2,110.4,0.6,1,2021-02-14,2020-21
Golden State Warriors,Cleveland Cavaliers,22000424,129,0.519,0.462,0.37200000000000005,0.772,42.4,26.2,13.9,7.3,5.2,0.5,109.9,109.6,0.575,98,0.35700000000000004,0.45,0.34,0.716,43.5,23.2,15.3,8.4,5.2,-8.3,104.3,112.5,0.5329999999999999,1,2021-02-15,2020-21
New York Knicks,Atlanta Hawks,22000422,123,0.46399999999999997,0.451,0.355,0.7609999999999999,49.0,21.9,14.1,6.9,5.1,0.1,107.5,107.2,0.5429999999999999,112,0.423,0.449,0.35600000000000004,0.816,45.7,24.5,14.2,6.5,4.8,0.4,111.3,111.3,0.5660000000000001,1,2021-02-15,2020-21
LA Clippers,Miami Heat,22000425,125,0.7140000000000001,0.484,0.42200000000000004,0.848,44.9,24.8,13.4,7.8,4.9,7.9,117.9,110.1,0.607,118,0.423,0.461,0.35700000000000004,0.784,42.1,25.3,16.7,6.8,3.8,-3.4,106.0,109.5,0.578,1,2021-02-15,2020-21
Utah Jazz,Philadelphia 76ers,22000423,134,0.815,0.466,0.395,0.77,49.4,24.1,14.8,5.9,5.9,9.4,116.0,107.0,0.593,123,0.667,0.48,0.359,0.777,44.8,22.8,15.4,8.5,6.0,3.3,111.9,108.5,0.581,1,2021-02-15,2020-21
Indiana Pacers,Chicago Bulls,22000420,112,0.519,0.475,0.371,0.769,42.2,26.8,13.2,8.4,5.7,1.7,112.0,110.5,0.575,120,0.4,0.48,0.382,0.799,42.3,25.5,15.9,7.1,4.0,-1.4,111.3,113.1,0.591,0,2021-02-15,2020-21
Sacramento Kings,Brooklyn Nets,22000426,125,0.462,0.47600000000000003,0.368,0.7190000000000001,42.6,25.4,14.0,6.5,5.2,-5.2,111.9,117.1,0.575,136,0.5710000000000001,0.49700000000000005,0.396,0.826,42.9,26.1,14.7,6.1,5.6,3.3,116.8,113.5,0.617,0,2021-02-15,2020-21
Washington Wizards,Houston Rockets,22000421,131,0.292,0.44799999999999995,0.336,0.762,42.6,23.8,13.5,6.8,3.7,-6.4,108.0,114.2,0.552,119,0.423,0.446,0.345,0.75,43.2,22.6,14.9,7.7,5.6,-1.4,107.2,108.2,0.5579999999999999,1,2021-02-15,2020-21
Phoenix Suns,Brooklyn Nets,22000433,124,0.654,0.47200000000000003,0.36,0.831,45.1,26.0,13.5,6.3,4.2,3.6,111.8,108.4,0.58,128,0.586,0.5,0.40399999999999997,0.821,42.7,26.3,14.7,6.1,5.6,3.6,117.5,114.0,0.621,0,2021-02-16,2020-21
Boston Celtics,Denver Nuggets,22000427,112,0.5,0.46,0.379,0.75,44.5,22.1,14.3,8.3,4.8,0.7,111.0,110.0,0.562,99,0.5770000000000001,0.479,0.38,0.77,44.4,26.8,13.7,8.3,4.4,4.5,115.5,110.9,0.583,1,2021-02-16,2020-21
Milwaukee Bucks,Toronto Raptors,22000430,113,0.593,0.49200000000000005,0.39899999999999997,0.73,47.0,26.1,13.4,8.2,4.7,8.0,118.8,110.4,0.598,124,0.444,0.451,0.386,0.8240000000000001,41.9,24.9,13.8,9.0,5.5,1.8,113.4,111.7,0.578,0,2021-02-16,2020-21
Minnesota Timberwolves,Los Angeles Lakers,22000431,104,0.259,0.442,0.35200000000000004,0.743,42.4,24.0,13.9,8.3,5.6,-7.3,106.0,112.9,0.54,112,0.75,0.485,0.359,0.748,45.5,24.9,14.9,7.1,6.0,7.0,112.1,105.1,0.58,0,2021-02-16,2020-21
Memphis Grizzlies,New Orleans Pelicans,22000429,113,0.5,0.466,0.365,0.7829999999999999,44.1,28.4,14.0,9.7,4.9,0.2,110.7,110.4,0.5589999999999999,144,0.423,0.47600000000000003,0.358,0.73,46.3,24.7,14.4,7.3,4.0,-1.0,113.7,115.0,0.574,0,2021-02-16,2020-21
Oklahoma City Thunder,Portland Trail Blazers,22000432,104,0.423,0.45,0.33899999999999997,0.731,43.8,22.8,14.2,7.1,4.4,-5.5,104.7,110.5,0.55,115,0.615,0.445,0.385,0.826,44.2,19.6,11.4,7.5,4.7,0.3,115.2,115.0,0.57,0,2021-02-16,2020-21
