Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Dallas Mavericks,LA Clippers,0021901271,111,0.586,0.46,0.366,0.775,46.9,24.3,12.8,6.2,4.9,5.7,115.7,110.2,0.58,126,0.672,0.464,0.37,0.792,46.5,23.0,14.3,6.9,4.8,6.3,112.9,106.5,0.575,0,08/06/2020
Sacramento Kings,New Orleans Pelicans,0021901268,140,0.418,0.46,0.363,0.769,42.4,23.4,14.4,7.7,4.1,-2.3,109.0,111.1,0.562,125,0.433,0.461,0.371,0.724,44.8,25.6,15.5,7.2,4.7,-1.0,110.2,111.3,0.566,1,08/06/2020
Denver Nuggets,Portland Trail Blazers,0021901272,115,0.662,0.471,0.355,0.777,44.8,26.9,13.9,8.2,4.6,2.8,112.2,109.3,0.565,125,0.449,0.462,0.375,0.799,44.8,20.1,12.8,6.1,6.1,-1.4,112.3,113.7,0.567,0,08/06/2020
Philadelphia 76ers,Orlando Magic,0021901277,108,0.603,0.466,0.363,0.754,45.4,25.8,14.3,8.1,5.3,2.2,110.0,107.9,0.564,101,0.464,0.444,0.343,0.772,44.8,24.4,12.9,8.4,5.6,-0.8,107.9,108.9,0.543,1,08/07/2020
San Antonio Spurs,Utah Jazz,0021901274,119,0.433,0.471,0.374,0.81,43.5,24.2,12.1,7.1,5.4,-1.6,111.7,113.1,0.57,111,0.632,0.472,0.378,0.779,45.2,22.3,15.2,6.1,4.0,2.8,111.7,108.8,0.585,1,08/07/2020
Brooklyn Nets,Sacramento Kings,0021901276,119,0.471,0.444,0.339,0.747,46.7,23.5,14.9,6.2,4.4,-1.1,108.0,108.9,0.551,106,0.426,0.461,0.364,0.768,42.3,23.5,14.3,7.7,4.1,-2.0,109.4,111.3,0.564,1,08/07/2020
Toronto Raptors,Boston Celtics,0021901279,100,0.731,0.458,0.374,0.803,44.5,24.9,14.4,8.6,4.8,6.5,111.0,104.5,0.575,122,0.662,0.461,0.366,0.801,45.5,22.6,13.6,8.2,5.6,6.1,112.9,106.7,0.57,0,08/07/2020
Memphis Grizzlies,Oklahoma City Thunder,0021901275,121,0.464,0.469,0.348,0.762,44.7,26.0,14.6,7.6,5.4,-1.3,108.8,110.1,0.56,92,0.627,0.473,0.354,0.798,42.9,21.7,13.6,7.6,5.0,2.7,110.8,107.9,0.577,1,08/07/2020
New Orleans Pelicans,Washington Wizards,0021901278,118,0.426,0.463,0.371,0.724,44.6,25.6,15.5,7.2,4.7,-1.2,110.4,111.7,0.567,107,0.353,0.46,0.371,0.786,40.2,24.2,13.6,7.7,4.1,-4.2,110.6,114.9,0.565,1,08/07/2020
Miami Heat,Phoenix Suns,0021901283,112,0.623,0.469,0.383,0.783,44.3,26.0,14.9,7.4,4.4,3.2,112.3,109.3,0.589,119,0.435,0.465,0.354,0.83,42.3,26.5,14.7,7.6,3.9,-0.8,110.5,110.9,0.573,0,08/08/2020
